Document Name,Created,Tag A,Tag B,Tag C,Tag D,,,
"COMBINED OPS INDEX,COMBINED OPERATIONS INDEX","Mar 02, 2019 8:37 PM",Commando,combined operations,,,,,
Commando 1 Operations,"Mar 06, 2019 10:51 AM",Commando,Commando 1,,,,,
Commando 51 - Palestinians,"May 11, 2016 7:52 AM",Commando 51,WWII,,,,,
Commando 51 British National Archives,"Mar 31, 2017 4:11 AM",British Mandate,Commando 51,WWII,primary,,,
Commando Battle Honours | Commando Veterans Archive,"Mar 04, 2019 12:42 PM",Commando,UK,WWII,,,,
D-Day: Heroic battle in Port-en-Bessin,"Mar 02, 2019 8:23 PM",Operation,,,,,,
David Stirling,"Dec 03, 2014 8:54 AM",Biograhpical,David Stirling,SAS,,,,
David Stirling: The Phantom Major | National Army Museum,"Mar 15, 2019 2:56 PM",Commando,David Stirling,National Army Musuem,SAS,UK,,
Decima Flottiglia MAS | Wikiwand,"Feb 25, 2018 5:53 AM",Decima Flottiglia MAS,Naval Units,Navy,Palyam,WWII,,
Desert innovator: Bagnold's sun-compass | National Army Museum,"Mar 15, 2019 5:01 PM",Commando,LRDG,LRDP,National Army Musuem,SAS,UK,
Fallschirmjäger (World War II) - Wikipedia,"Mar 08, 2019 2:40 PM",Commando,Germany,,,,,
"FISCHER, M. | Commando Veterans Archive","Mar 06, 2019 4:48 PM",Commando,Commando 51,UK,WWII,,,
"FROST, Henry Shelmerdine | Commando Veterans Archive","Mar 06, 2019 4:49 PM",Commando,UK,WWII,,,,
"George Jellicoe, 2nd Earl Jellicoe - Wikipedia","Aug 02, 2018 5:23 AM",George Jellicoe,SAS,SBS,,,,
German Special Forces of World War II,"Feb 19, 2016 5:06 AM",Otto Skorzeny,,,,,,
Greece | Commando Veterans Archive,"Mar 04, 2019 12:59 PM",Commando,UK,WWII,,,,
"GREEK SACRED SQUADRON, SACRED SQUADRON,","Mar 02, 2019 8:34 PM",Commando,,,,,,
Herbert 'Blondie' Hasler: A Cockleshell Hero | National Army Museum,"Mar 15, 2019 4:52 PM",National Army Musuem,SBS,UK,naval commandos,,,
History - First Special Service Force,"Jan 11, 2015 6:40 AM",Units,,,,,,
History and Training 1940 -1945' | Commando Veterans Archive,"Mar 04, 2019 12:43 PM",Commando,UK,WWII,,,,
"HISTORY OF 30 ASSAULT UNIT, 1942-1946","Mar 03, 2019 9:02 AM",Commando,UK,,,,,
Holding Operational Commando | Commando Veterans Archive,"Mar 04, 2019 12:54 PM",Commando,UK,WWII,,,,
How the SAS carried out 20 top secret WWII operations in Italy,"Mar 07, 2019 7:32 AM",Commando,SAS,,,,,
Independent Companies and Special Service Battalions | Commando Veterans Archive,"Mar 04, 2019 12:57 PM",Commando,UK,WWII,,,,
Insidious Weapons Xa Flottiglia MAS,"Mar 07, 2019 5:27 PM",Italy,Xa Flottiglia MAS,naval commandos,,,,
Insidious Weapons Xa Flottiglia MAS,"Mar 07, 2019 5:27 PM",Italy,Xa Flottiglia MAS,naval commandos,,,,
Insidious Weapons Xa Flottiglia MAS,"Mar 07, 2019 5:28 PM",Italy,Xa Flottiglia MAS,naval commandos,,,,
Karl Kahana,"Dec 27, 2015 4:10 PM",Biograhpical,Commando 51,Karl Kahana,,,,
Layforce - Wikipedia,"Aug 02, 2018 5:26 AM",Layforce,Moshe Dayan,Yigal Allon,,,,
Layforce' | Commando Veterans Archive,"Mar 04, 2019 12:49 PM",Commando,UK,WWII,,,,
List of former United States special operations units,"Mar 03, 2019 7:42 PM",Commando,US,,,,,
Long Range Desert Group - Wikipedia,"Mar 17, 2019 12:35 PM",Commando,UK,,,,,
Marinestosstruppkompanie - Wikipedia,"Mar 08, 2019 2:41 PM",Commando,Germany,,,,,
Meet the SBS: one man strangled nine Germans with his bare hands,"Mar 07, 2019 7:34 AM",Commando,SBS,UK,naval commandos,,,
Messina to Palermo railway raid' | Commando Veterans Archive,"Mar 06, 2019 5:01 PM",Commando,Operations,UK,WWII,,,
Military History Online - Air Reconnaissance in the Second World War,"Mar 13, 2019 5:52 AM",Commando,reconnaissance,,,,,
Military History Online - Popski's Private Army,"Mar 13, 2019 5:51 AM",Commando,Popski,,,,,
"Military History Online - Raids, Road Watches, and Reconnaissance: New Zealand's involvement in the Long Range Desert Group in North Africa, 1940-1943","Mar 13, 2019 5:56 AM",Long Range Desert Group,Popski,,,,,
Military History Online - Shadow Warriors,"Mar 13, 2019 5:57 AM",Naval Units,,,,,,
Military History Online - The True Strategy of Blitzkrieg,"Mar 13, 2019 5:54 AM",Germany,Military Innovations,,,,,
NCDU,"Mar 07, 2019 5:17 PM",UDT,US,naval commandos,,,,
Nigel Clogstoun-Willmott: Covert beach surveyor | National Army Museum,"Mar 15, 2019 4:53 PM",Commando,National Army Musuem,SBS,UK,naval commandos,,
"No 1 COMMANDO,COMBINED OPERATIONS,","Mar 02, 2019 8:27 PM",Commando,,,,,,
"NO 5 COMMANDO, COMBINED OPERATIONS,","Mar 02, 2019 8:28 PM",Commando,,,,,,
"No. 4 COMMANDO, COMBINED OPERATIONS,","Mar 02, 2019 8:28 PM",Commando,,,,,,
"No. 9 COMMANDO, COMBINED OPERATIONS,","Mar 02, 2019 8:29 PM",Commando,,,,,,
Observer Group - Wikipedia,"Mar 03, 2019 7:39 PM",Commando,marnies,,,,,
Operation Abercrombie | Commando Veterans Archive,"Mar 06, 2019 5:05 PM",Commando,Operations,UK,WWII,,,
Operation Addition | Commando Veterans Archive,"Mar 06, 2019 4:56 PM",Commando,Operations,UK,WWII,,,
Operation Ambassador | Commando Veterans Archive,"Mar 06, 2019 4:55 PM",Commando,Operations,UK,WWII,,,
Operation Anklet | Commando Veterans Archive,"Mar 06, 2019 5:03 PM",Commando,Operations,UK,WWII,,,
Operation Archery | Commando Veterans Archive,"Mar 06, 2019 5:03 PM",Commando,Operations,UK,WWII,,,
Operation Avalanche | Commando Veterans Archive,"Mar 06, 2019 5:13 PM",Commando,Operations,UK,WWII,,,
Operation Bean' | Commando Veterans Archive,"Mar 06, 2019 10:41 AM",Commando,Commando 1,UK,,,,
Operation Bean' | Commando Veterans Archive,"Mar 06, 2019 5:22 PM",Commando,Operations,UK,,,,
Operation Bizerte,"Mar 06, 2019 10:36 AM",Commando,Commando 1,UK,WWII,,,
Operation Bizerte | Commando Veterans Archive,"Mar 06, 2019 5:08 PM",Commando,Operations,UK,WWII,,,
Operation Blackcock' | Commando Veterans Archive,"Mar 06, 2019 5:12 PM",Commando,Operations,UK,WWII,,,
Operation Bottle,"Mar 06, 2019 10:43 AM",Commando,Commando 1,UK,WWII,,,
Operation Bottle | Commando Veterans Archive,"Mar 06, 2019 5:25 PM",Commando,Operations,UK,WWII,,,
Operation Bristle,"Mar 06, 2019 10:38 AM",Commando,Commando 1,UK,WWII,,,
Operation Bristle | Commando Veterans Archive,"Mar 06, 2019 5:06 PM",Commando,Operations,UK,WWII,,,
Operation Carey | Commando Veterans Archive,"Mar 06, 2019 5:11 PM",Commando,Operations,UK,WWII,,,
Operation Cartoon | Commando Veterans Archive,"Mar 06, 2019 5:10 PM",Commando,Operations,UK,WWII,,,
Operation Chariot,"Mar 06, 2019 10:37 AM",Commando,Commando 1,UK,WWII,,,
Operation Chariot | Commando Veterans Archive,"Mar 06, 2019 5:04 PM",Commando,Operations,UK,WWII,,,
Operation Chess | Commando Veterans Archive,"Mar 06, 2019 5:00 PM",Commando,Operations,UK,WWII,,,
Operation Chopper | Commando Veterans Archive,"Mar 06, 2019 10:32 AM",Commando,Commando 1,UK,WWII,,,
Operation Chopper | Commando Veterans Archive,"Mar 06, 2019 5:01 PM",Commando,Operations,UK,WWII,,,
Operation Claymore | Commando Veterans Archive,"Mar 06, 2019 4:55 PM",Commando,Operations,UK,WWII,,,
Operation Collar | Commando Veterans Archive,"Mar 06, 2019 4:54 PM",Commando,Operations,UK,WWII,,,
Operation Crackers' | Commando Veterans Archive,"Mar 06, 2019 5:10 PM",Commando,Operations,UK,WWII,,,
Operation Detained 1 | Commando Veterans Archive,"Mar 06, 2019 5:17 PM",Commando,Operations,UK,WWII,,,
Operation Detained 11 | Commando Veterans Archive,"Mar 06, 2019 5:20 PM",Commando,Operations,UK,WWII,,,
Operation Devon | Commando Veterans Archive,"Mar 06, 2019 5:14 PM",Commando,Operations,UK,WWII,,,
Operation Exporter | Commando Veterans Archive,"Mar 06, 2019 4:59 PM",Commando,Operations,UK,WWII,,,
Operation Ferdy | Commando Veterans Archive,"Mar 06, 2019 5:13 PM",Commando,Operations,UK,WWII,,,
Operation Flipper | Commando Veterans Archive,"Mar 06, 2019 5:02 PM",Commando,Operations,UK,WWII,,,
Operation Floxo | Commando Veterans Archive,"Mar 06, 2019 5:21 PM",Commando,Operations,UK,WWII,,,
Operation Foxrock | Commando Veterans Archive,"Mar 06, 2019 4:57 PM",Commando,Operations,UK,WWII,,,
Operation Frankton | Commando Veterans Archive,"Mar 06, 2019 5:09 PM",Commando,Operations,UK,WWII,,,
Operation Horse | Commando Veterans Archive,"Mar 06, 2019 5:23 PM",Commando,Operations,UK,WWII,,,
Operation Husky | Commando Veterans Archive,"Mar 06, 2019 5:12 PM",Commando,Operations,UK,WWII,,,
Operation Impact Plain | Commando Veterans Archive,"Mar 06, 2019 5:24 PM",Commando,Operations,UK,WWII,,,
Operation Impact Royal | Commando Veterans Archive,"Mar 06, 2019 5:25 PM",Commando,Operations,UK,WWII,,,
OPERATION INFATUATE - WALCHEREN,"Mar 02, 2019 8:24 PM",,,,,,,
Operation Infatuate | Commando Veterans Archive,"Mar 06, 2019 5:21 PM",Commando,Operations,UK,WWII,,,
Operation Ironclad | Commando Veterans Archive,"Mar 06, 2019 5:05 PM",Commando,Operations,UK,WWII,,,
Operation Jubilee | Commando Veterans Archive,"Mar 06, 2019 5:06 PM",Commando,Operations,UK,WWII,,,
Operation Mercerised | Commando Veterans Archive,"Mar 06, 2019 5:20 PM",Commando,Operations,,,,,
Operation Musketoon’ | Commando Veterans Archive,"Mar 06, 2019 5:07 PM",Commando,Operations,UK,WWII,,,
Operation Myrmidon,"Mar 05, 2019 4:30 PM",Commando,Commando 1,UK,WWII,,,
Operation Myrmidon | Commando Veterans Archive,"Mar 06, 2019 5:04 PM",Commando,Operations,UK,WWII,,,
Operation Partridge | Commando Veterans Archive,"Mar 06, 2019 5:14 PM",Commando,Operations,UK,WWII,,,
Operation Premium | Commando Veterans Archive,"Mar 06, 2019 5:16 PM",Commando,Operations,UK,WWII,,,
Operation Roast | Commando Veterans Archive,"Mar 06, 2019 5:24 PM",Commando,Operations,UK,WWII,,,
Operation Screwdriver' | Commando Veterans Archive,"Mar 06, 2019 5:19 PM",Commando,Operations,UK,WWII,,,
Operation Silchar' | Commando Veterans Archive,"Mar 06, 2019 5:19 PM",Commando,Operations,UK,WWII,,,
Operation Sunstar | Commando Veterans Archive,"Mar 06, 2019 5:02 PM",Commando,Operations,UK,WWII,,,
Operation Torch',"Mar 06, 2019 10:40 AM",Commando,Commando 1,UK,WWII,,,
Operation Torch' | Commando Veterans Archive,"Mar 06, 2019 5:08 PM",Commando,Operations,UK,WWII,,,
Operation Widgeon | Commando Veterans Archive,"Mar 06, 2019 5:23 PM",Commando,Operations,,,,,
Operation X Anzio beachhead | Commando Veterans Archive,"Mar 06, 2019 5:18 PM",Commando,Operations,UK,WWII,,,
Operations - Alexandria,"Mar 07, 2019 5:24 PM",Italy,Xa Flottiglia MAS,naval commandos,,,,
Operations Alexandretta and Mersin,"Mar 07, 2019 5:27 PM",Italy,Xa Flottiglia MAS,naval commandos,,,,
Operations Gibraltar,"Mar 07, 2019 5:24 PM",Italy,Xa Flottiglia MAS,naval commandos,,,,
Operations Malta,"Mar 07, 2019 5:25 PM",Italy,Xa Flottiglia MAS,naval commandos,,,,
Operations New York,"Mar 07, 2019 5:25 PM",Italy,Xa Flottiglia MAS,naval commandos,,,,
Operations Suda Bay,"Mar 07, 2019 5:26 PM",Italy,Xa Flottiglia MAS,naval commandos,,,,
Origins of the Special Forces | National Army Museum,"Mar 15, 2019 2:49 PM",Commando,National Army Musuem,UK,,,,
"OSTERMAN, Werner | Commando Veterans Archive","Mar 06, 2019 4:47 PM",Commando,Commando 51,UK,WWII,,,
Otto Skorzeny,"Mar 27, 2016 8:43 AM",Biograhpical,Otto Skorzeny,,,,,
Popski's Private Army,"Jan 25, 2018 6:51 AM",Biograhpical,British commandos,Popski,SOE,Vladimir Peniakoff,WWII,Winston Churchill
Popski's Private Army,"Aug 12, 2018 5:50 AM",Biographical,British commandos,Popski,Vladimir Peniakoff,,,
RAF SERVICING COMMANDOS,"Mar 02, 2019 8:32 PM",Commando,,,,,,
Rearguard action on Crete' | Commando Veterans Archive,"Mar 06, 2019 4:56 PM",Commando,Operations,UK,WWII,,,
RM Engineer Commando' | Commando Veterans Archive,"Mar 04, 2019 12:52 PM",Commando,UK,WWII,,,,
RN Beach Commando units' | Commando Veterans Archive,"Mar 04, 2019 12:55 PM",Commando,UK,WWII,,,,
Roger Courtney: SBS pioneer | National Army Museum,"Mar 15, 2019 4:51 PM",National Army Musuem,SBS,UK,naval commandos,,,
"ROSENSTEIN, Natan | Commando Veterans Archive","Mar 06, 2019 4:46 PM",Commando,Commando 51,UK,WWII,,,
ROYAL AIR SERVICING COMMANDOS UNIT 3201,"Mar 02, 2019 8:34 PM",Commando,,,,,,
ROYAL NAVAL COMMANDOS,"Mar 02, 2019 8:32 PM",Commando,,,,,,
SAARF – Special Allied Airborne Reconnaissance Force,"Jan 25, 2018 6:53 AM",WWII,,,,,,
SAS Operations WWII,"Mar 07, 2019 7:45 AM",Commando,Operations,SAS,,,,
SAS The official website of the Special Air Service Regimental Association,"Aug 12, 2018 6:04 AM",SAS,,,,,,
Scouts & Raiders,"Mar 07, 2019 5:18 PM",UDT,US,naval commandos,,,,
SEAL History: First Airborne Frogmen - National Navy UDT-SEAL Museum,"Mar 04, 2019 12:21 PM",Navy,Navy Souts and Raiders,US,,,,
SEAL History: Origins of Naval Special Warfare-WWII - National Navy UDT-SEAL Museum,"Mar 04, 2019 12:18 PM",Commando,Navy Souts and Raiders,US,,,,
Servicing Commando Units (RAF) | Commando Veterans Archive,"Mar 04, 2019 12:56 PM",Commando,UK,WWII,,,,
"SHIELDS, Ronald Francis | Commando Veterans Archive","Mar 06, 2019 4:48 PM",Commando,Commando 51,UK,WWII,,,
Small Scale Raiding Force | Commando Veterans Archive,"Mar 04, 2019 12:58 PM",Commando,UK,WWII,,,,
SOE By Sanchia Berg,"Jan 22, 2015 3:30 AM",British Mandate,SOE,Winston Churchill,,,,
Sonder Lehrgang Oranienburg - Wikipedia,"Mar 08, 2019 2:43 PM",Commando,Germany,,,,,
Special Boat Section/Service' | Commando Veterans Archive,"Mar 04, 2019 12:57 PM",Commando,UK,WWII,,,,
Special Boat Service | National Army Museum,"Mar 15, 2019 2:59 PM",National Army Musuem,SBS,UK,naval commandos,,,
Special Interrogation Group,"Dec 15, 2015 3:37 PM",Commando 51,,,,,,
Special Operations Executive | National Army Museum,"Mar 15, 2019 2:46 PM",Commando,National Army Musuem,SOE,UK,,,
Special Service Brigade - Wikipedia,"Mar 21, 2019 4:37 AM",Commando,UK,WWII,,,,
Special Service Brigade & Signals Troops | Commando Veterans Archive,"Mar 04, 2019 12:53 PM",Commando,UK,WWII,,,,
St Nazaire Raid - Wikipedia,"Mar 20, 2019 8:35 AM",Commando,,,,,,
T. E. Lawrence,"Oct 12, 2015 6:58 AM",Biograhpical,T. E. Lawrence,,,,,
Table of Contents,"Mar 05, 2019 1:21 AM",,,,,,,
Texas National Guard WWII,"Mar 13, 2019 5:59 AM",,,,,,,
The Commandos | National Army Museum,"Mar 15, 2019 2:54 PM",Commando,National Army Musuem,UK,WWII,,,
The Operations – The Underwater Heritage Trust,"Mar 07, 2019 5:21 PM",Commando,,,,,,
The Origins,"Mar 07, 2019 5:23 PM",Italy,Xa Flottiglia MAS,naval commandos,,,,
"The struggle for North Africa, 1940-43 | National Army Museum","Mar 15, 2019 5:02 PM",National Army Musuem,UK,,,,,
UDT,"Mar 07, 2019 5:16 PM",UDT,US,naval commandos,,,,
UDT,"Mar 07, 2019 5:17 PM",UDT,US,naval commandos,,,,
UDT10,"Mar 07, 2019 5:08 PM",Commando,UDT,US,naval commandos,,,
UDT11,"Mar 07, 2019 5:08 PM",UDT,US,naval commandos,,,,
UDT12,"Mar 07, 2019 5:09 PM",UDT,US,naval commandos,,,,
UDT13,"Mar 07, 2019 5:09 PM",UDT,US,naval commandos,,,,
UDT14,"Mar 07, 2019 5:10 PM",UDT,US,naval commandos,,,,
UDT15,"Mar 07, 2019 5:10 PM",UDT,US,naval commandos,,,,
UDT16,"Mar 07, 2019 5:10 PM",UDT,US,naval commandos,,,,
UDT17,"Mar 07, 2019 5:11 PM",UDT,US,naval commandos,,,,
UDT18,"Mar 07, 2019 5:11 PM",UDT,US,naval commandos,,,,
UDT19,"Mar 07, 2019 5:11 PM",UDT,US,naval commandos,,,,
UDT1and2,"Mar 07, 2019 5:05 PM",UDT,US,naval commandos,,,,
UDT20,"Mar 07, 2019 5:12 PM",UDT,US,naval commandos,,,,
UDT21,"Mar 07, 2019 5:12 PM",UDT,US,naval commandos,,,,
UDT22,"Mar 07, 2019 5:12 PM",UDT,US,naval commandos,,,,
UDT23,"Mar 07, 2019 5:13 PM",UDT,US,naval commandos,,,,
UDT24,"Mar 07, 2019 5:13 PM",UDT,US,naval commandos,,,,
UDT25,"Mar 07, 2019 5:13 PM",UDT,US,naval commandos,,,,
UDT26,"Mar 07, 2019 5:14 PM",UDT,US,naval commandos,,,,
UDT27,"Mar 07, 2019 5:14 PM",UDT,US,naval commandos,,,,
UDT28,"Mar 07, 2019 5:15 PM",UDT,US,naval commandos,,,,
UDT29,"Mar 07, 2019 5:15 PM",UDT,US,naval commandos,,,,
UDT3,"Mar 07, 2019 5:06 PM",Commando,UDT,US,naval commandos,,,
UDT30,"Mar 07, 2019 5:15 PM",UDT,US,naval commandos,,,,
UDT4,"Mar 07, 2019 5:06 PM",Commando,UDT,US,naval commandos,,,
UDT5,"Mar 07, 2019 5:07 PM",UDT,US,naval commandos,,,,
UDT6,"Mar 07, 2019 5:07 PM",Commando,UDT,US,naval commandos,,,
UDT7,"Mar 07, 2019 5:07 PM",Commando,UDT,US,naval commandos,,,
UDT8,"Mar 07, 2019 5:07 PM",UDT,US,naval commandos,,,,
UDT9,"Mar 07, 2019 5:08 PM",Commando,UDT,US,naval commandos,,,
UDTWWII,"Mar 07, 2019 5:02 PM",Commando,UDT,US,naval commandos,,,
"ULRICH, Itzchaz | Commando Veterans Archive","Mar 06, 2019 4:45 PM",Commando,UK,WWII,,,,
Uncovering Foreign Military Innovarions.pdf,"Dec 15, 2015 3:37 PM",Academic articles,Military Innovations,journal article,,,,
Underwater Demolition Team,"Mar 04, 2019 12:03 PM",Commando,Naval Units,Navy Souts and Raiders,Phil H. Bucklew,UDT,,
United States of America | Commando Veterans Archive,"Mar 04, 2019 12:59 PM",Commando,UK,WWII,,,,
W COMMANDO - CANADA'S BEACH COMMANDOS,"Mar 02, 2019 8:35 PM",Canada,Commando,,,,,
Waffen SS Part I,"Mar 13, 2019 6:01 AM",Commando,Germany,,,,,
"WAJNSZTEJN, Shmaryahu | Commando Veterans Archive","Mar 06, 2019 4:44 PM",Commando,UK,WWII,,,,
"Wartime Army Commandos' by Brig. Peter Young DSO, MC | Commando Veterans Archive","Mar 04, 2019 12:40 PM",Commando,UK,WWII,,,,
What are the Special Forces? | National Army Museum,"Mar 15, 2019 2:57 PM",Commando,National Army Musuem,UK,WWII,,,
Winston Churchill,"Dec 24, 2015 2:49 PM",Biograhpical,Commando,Winston Churchill,,,,
WW2 Commandos | Commando Veterans Archive,"Mar 04, 2019 12:41 PM",Commando,UK,WWII,,,,
